jobTitle,jobSkills,employer,city,state,geoCode
Lead Developer,Architecture|Programming|QA|Software engineering,Large Search Giant Llc.,San Jose,CA,"37.3382082,-121.8863286"
Cloud Developer,Research|Microsoft Windows|Linux|Compiler|Network|Technical writing|Python|Unix|Security|Performance testing,Big Data Services,San Francisco,CA,"37.7749295,-122.4194155"
Application Developer,SQL|JavaScript|BIND|JDBC|Oracle|Programming|QA|HTML,Simon Hughes Llc,Austin,TX,"30.267153,-97.7430608"
Application Developer,Lifecycle management|Programming|Web development,Big Tech Company,San Francisco,CA,"37.7749295,-122.4194155"
Pega Developer,QA|Agile|Architecture,Large Search Giant Llc.,Austin,TX,"30.267153,-97.7430608"
Node Developer,J2EE|Microsoft Office|SQL|J2EE|Programming|SVN|Scrum|Git|Security|XML|Systems architecture|Revision control|HTTP|Jenkins,Big Tech Company,New York,NY,"40.7127837,-74.0059413"
Fullstack Developer,IBM|JavaScript|Sales|BIND|CSS,Python code ninjas,Austin,TX,"30.267153,-97.7430608"
Salesforce Developer,Consulting|SOAP|Scripting|Programming|Git|IDE,Acme Inc,New York,NY,"40.7127837,-74.0059413"
Java Developer,Microsoft Office|IBM DB2|HTML|Security|Systems architecture|MySQL|jQuery|CSS|Database|HTTP|XML|PostgreSQL|Application server,Acme Inc,San Francisco,CA,"37.7749295,-122.4194155"
Cloud Developer,Algorithms|QA|Linux|Microsoft Windows|NoSQL|Java|HTTP|Hardware|Unix,IT Services and Networking Corp.,Des Moines,IA,"41.6005448,-93.6091064"
Hadoop Developer,Apache Hadoop|Apache HTTP Server|Ab Initio|Database|JCL|Data analysis|IBM DB2|Programming|Linux administration|Security|Scripting,Big Tech Company,New York,NY,"40.7127837,-74.0059413"
Application Developer,J2EE|XML|JavaScript|Java|JDBC,Scientists and Quants Inc,Chicago,IL,"41.8781136,-87.6297982"
Cloud Developer,Artificial intelligence|Network|Linux|Microsoft Windows|Video|HTTP|Scripting|Software engineering|Technical writing|NoSQL,Roll the Dice Inc.,New York,NY,"40.7127837,-74.0059413"
Lead Developer,Modeling|HTTP|Software engineering|IDE|Citrix|Research|Metrics,Large Search Giant Llc.,New York,NY,"40.7127837,-74.0059413"
Lead Developer,QA|HTTP|Software engineering|Unix|Linux administration,Big Tech Company,San Jose,CA,"37.3382082,-121.8863286"
Frontend Developer,IBM|CSS|UX|Mobile development|jQuery|XML,Roll the Dice Inc.,Austin,TX,"30.267153,-97.7430608"
Java Developer,IBM|Database design|Apache HTTP Server|Java|SQL|Agile,Acme Inc,San Jose,CA,"37.3382082,-121.8863286"
C++ Developer,Architecture|Research|Embedded systems|Embedded software|Compiler|Software engineering,Big Data Services,Chicago,IL,"41.8781136,-87.6297982"
ETL Developer,Informatica|Teradata|SQL|QA|Hardware|Microsoft SQL Server|Ab Initio,Large Search Giant Llc.,San Francisco,CA,"37.7749295,-122.4194155"
.Net Developer,HTTP|jQuery|Java|Software engineering|Automotive|Oracle|OOP|Scrum,Big Data Services,San Jose,CA,"37.3382082,-121.8863286"
Java Developer,Research|Agile|HTTP|Compiler|Application server|OOP|Hardware,Python code ninjas,Des Moines,IA,"41.6005448,-93.6091064"
Frontend Developer,Programming|Python|Unix|Agile|JavaScript,Big Data Services,Des Moines,IA,"41.6005448,-93.6091064"
.Net Developer,SQL|QA|Configuration management database|Microsoft SQL Server,Large Search Giant Llc.,Des Moines,IA,"41.6005448,-93.6091064"
Node Developer,UPS|Revision control|Programming|Systems architecture|XML|Jenkins|J2EE|Architecture|HTTP|J2EE|IBM|SVN|Git|MySQL,Big Tech Company,New York,NY,"40.7127837,-74.0059413"
MicroStrategy Developer,Business requirements|Development management|Metrics|Architecture|Oracle,Python code ninjas,New York,NY,"40.7127837,-74.0059413"
Cloud Developer,Research|HTTP|Apache Hadoop|Network|Unix|Hardware|Technical writing|QA|Programming|Security,Simon Hughes Llc,Austin,TX,"30.267153,-97.7430608"
C++ Developer,Security|Programming|Embedded software|HTTP|Software engineering|Embedded systems,Big Tech Company,Chicago,IL,"41.8781136,-87.6297982"
Java Developer,Application server|Java|Middleware|Compiler|OOP|Programming|Security,Big Data Services,San Francisco,CA,"37.7749295,-122.4194155"
SQL Server Developer,Architecture|Configuration|OLTP|Microsoft SQL Server|Data architecture|Scripting,Big Tech Company,San Francisco,CA,"37.7749295,-122.4194155"
Lead Application Developer,BIND|Agile|Programming|jQuery|IBM,SocialMedia.com,San Jose,CA,"37.3382082,-121.8863286"
SharePoint Administrator,SQL|IBM|Microsoft PowerPoint|.NET|Business requirements|QA|Microsoft SQL Server|C#|Microsoft Excel|Java|Microsoft Outlook,Scientists and Quants Inc,Austin,TX,"30.267153,-97.7430608"
C++ Developer,Security|Networking|Perl|Database design|Compiler|Linux|Java,Data Science Consultants,New York,NY,"40.7127837,-74.0059413"
Lead Developer,Agile|Hardware|Java|HTTP|Programming|jQuery|Software engineering|Security|UI|Revision control,Simon Hughes Llc,Des Moines,IA,"41.6005448,-93.6091064"
Java Backend Developer,SOAP|Architecture|Data analysis|OOP|Mobile development|Java|Scrum|Database design|Automotive|API|Unix|Ajax,Big Data Services,Chicago,IL,"41.8781136,-87.6297982"
Mainframe Developer,CICS|QA|Architecture|Scheduling|JCL|VSAM|IBM DB2|Programming,Simon Hughes Llc,Austin,TX,"30.267153,-97.7430608"
C++ Developer,Python|Security|Database design|Network|Software engineering|Java|Programming,IT Services and Networking Corp.,New York,NY,"40.7127837,-74.0059413"
Ruby Developer,Objective-C|Unix|Scrum|UI|JavaScript|SOAP|Programming|Git|Jenkins|Hudson|Supervision|iOS|Agile|Java|SQL,Big Tech Company,Des Moines,IA,"41.6005448,-93.6091064"
C++ Developer,Network|Python|Java|Security|Database design|Linux administration|Networking,Acme Inc,San Francisco,CA,"37.7749295,-122.4194155"
Web Developer,Linux administration|HTML|Adobe Flash|Web development|Adobe|Web design|CSS|HTTP,Simon Hughes Llc,Austin,TX,"30.267153,-97.7430608"
ETL Developer,SAP QA|OLTP|Business requirements,Simon Hughes Llc,Austin,TX,"30.267153,-97.7430608"
SAS Developer,Linux administration|Database|Apache HTTP Server|Verification and validation|Data analysis|JDBC|Oracle|Programming|SAS/SQL,Big Tech Company,Des Moines,IA,"41.6005448,-93.6091064"
Mobile Developer,XML|JavaScript|Ajax|Android|BIND|Revision control|API|Hardware|Objective-C|OpenGL|Sales,Roll the Dice Inc.,Des Moines,IA,"41.6005448,-93.6091064"
C++ Developer,Unix|Supervision|Programming|Algorithms|Metrics,Scientists and Quants Inc,San Francisco,CA,"37.7749295,-122.4194155"
C++ Developer,Programming|Linux|Networking|QA|Perl|Compiler|Bash,Roll the Dice Inc.,Austin,TX,"30.267153,-97.7430608"
Application Developer,PL/SQL|Security|HTTP|Program management|Apache Subversion|Linux administration|Programming|Database design|Web server|IBM AIX|Microsoft SQL Server|HP-UX|Solaris|Unix|UX|Microsoft Windows|Java,Big Tech Company,New York,NY,"40.7127837,-74.0059413"
Web Developer,jQuery|Architecture|Graphics|.NET|Scrum|ASP.NET|CSS|ASP,Simon Hughes Llc,San Francisco,CA,"37.7749295,-122.4194155"
.Net Developer,Microsoft SQL Server|Configuration management database|SQL|Sales|Business requirements|Lifecycle management,Scientists and Quants Inc,Austin,TX,"30.267153,-97.7430608"
Web Developer,Programming|Microsoft Excel|MySQL|.NET|Web development|Multimedia|HTTP|Analytical skill|Video,IT Services and Networking Corp.,New York,NY,"40.7127837,-74.0059413"
Frontend Developer,JSP|Linux administration|Apache HTTP Server|Software engineering|Wireless|Microsoft Windows|MySQL|HTTP|CSS|UI,IT Services and Networking Corp.,San Jose,CA,"37.3382082,-121.8863286"
